municipio_codigo;municipio_nombre;sexo;lugar_nacimiento;poblacion_empadronada
006;Alcobendas;Mujer;Otros países de América;0
006;Alcobendas;Mujer;Resto de Europa;672
006;Alcobendas;Mujer;Unión Europea ;48677
007;Alcorcón;Hombre;África;2001
007;Alcorcón;Hombre;América del Central y del Caribe;730
007;Alcorcón;Hombre;América del Norte;93
007;Alcorcón;Hombre;América del Sur;3623
007;Alcorcón;Hombre;Apátridas;0
007;Alcorcón;Hombre;Asia;747
007;Alcorcón;Hombre;Oceanía;25
007;Alcorcón;Hombre;Otros países de América;0
007;Alcorcón;Hombre;Resto de Europa;996
007;Alcorcón;Hombre;Unión Europea ;73017
007;Alcorcón;Mujer;África;1563
007;Alcorcón;Mujer;América del Central y del Caribe;1158
007;Alcorcón;Mujer;América del Norte;125
007;Alcorcón;Mujer;América del Sur;4574
007;Alcorcón;Mujer;Apátridas;0
007;Alcorcón;Mujer;Asia;686
007;Alcorcón;Mujer;Oceanía;17
007;Alcorcón;Mujer;Otros países de América;0
007;Alcorcón;Mujer;Resto de Europa;1189
007;Alcorcón;Mujer;Unión Europea ;77593
008;Aldea del Fresno;Hombre;África;124
008;Aldea del Fresno;Hombre;América del Central y del Caribe;6
008;Aldea del Fresno;Hombre;América del Norte;3
008;Aldea del Fresno;Hombre;América del Sur;40
008;Aldea del Fresno;Hombre;Apátridas;0
008;Aldea del Fresno;Hombre;Asia;7
008;Aldea del Fresno;Hombre;Oceanía;0
008;Aldea del Fresno;Hombre;Otros países de América;0
008;Aldea del Fresno;Hombre;Resto de Europa;6
008;Aldea del Fresno;Hombre;Unión Europea ;1191
008;Aldea del Fresno;Mujer;África;99
008;Aldea del Fresno;Mujer;América del Central y del Caribe;5
008;Aldea del Fresno;Mujer;América del Norte;1
008;Aldea del Fresno;Mujer;América del Sur;40
008;Aldea del Fresno;Mujer;Apátridas;0
008;Aldea del Fresno;Mujer;Asia;5
008;Aldea del Fresno;Mujer;Oceanía;0
008;Aldea del Fresno;Mujer;Otros países de América;0
008;Aldea del Fresno;Mujer;Resto de Europa;9
008;Aldea del Fresno;Mujer;Unión Europea ;1080
009;Algete;Hombre;África;142
009;Algete;Hombre;América del Central y del Caribe;112
009;Algete;Hombre;América del Norte;46
009;Algete;Hombre;América del Sur;543
009;Algete;Hombre;Apátridas;0
009;Algete;Hombre;Asia;185
009;Algete;Hombre;Oceanía;0
009;Algete;Hombre;Otros países de América;0
009;Algete;Hombre;Resto de Europa;47
009;Algete;Hombre;Unión Europea ;9047
009;Algete;Mujer;África;117
009;Algete;Mujer;América del Central y del Caribe;148
009;Algete;Mujer;América del Norte;77
009;Algete;Mujer;América del Sur;677
009;Algete;Mujer;Apátridas;0
009;Algete;Mujer;Asia;96
009;Algete;Mujer;Oceanía;5
009;Algete;Mujer;Otros países de América;0
009;Algete;Mujer;Resto de Europa;67
009;Algete;Mujer;Unión Europea ;9110
010;Alpedrete;Hombre;África;91
010;Alpedrete;Hombre;América del Central y del Caribe;51
010;Alpedrete;Hombre;América del Norte;32
010;Alpedrete;Hombre;América del Sur;249
010;Alpedrete;Hombre;Apátridas;0
010;Alpedrete;Hombre;Asia;28
010;Alpedrete;Hombre;Oceanía;1
010;Alpedrete;Hombre;Otros países de América;0
010;Alpedrete;Hombre;Resto de Europa;21
010;Alpedrete;Hombre;Unión Europea ;6507
010;Alpedrete;Mujer;África;65
010;Alpedrete;Mujer;América del Central y del Caribe;77
010;Alpedrete;Mujer;América del Norte;43
010;Alpedrete;Mujer;América del Sur;309
010;Alpedrete;Mujer;Apátridas;0
010;Alpedrete;Mujer;Asia;43
010;Alpedrete;Mujer;Oceanía;3
010;Alpedrete;Mujer;Otros países de América;0
010;Alpedrete;Mujer;Resto de Europa;37
010;Alpedrete;Mujer;Unión Europea ;6683
011;Ambite;Hombre;África;21
011;Ambite;Hombre;América del Central y del Caribe;0
011;Ambite;Hombre;América del Norte;0
011;Ambite;Hombre;América del Sur;8
011;Ambite;Hombre;Apátridas;0
011;Ambite;Hombre;Asia;22
011;Ambite;Hombre;Oceanía;1
011;Ambite;Hombre;Otros países de América;0
011;Ambite;Hombre;Resto de Europa;22
011;Ambite;Hombre;Unión Europea ;278
011;Ambite;Mujer;África;3
011;Ambite;Mujer;América del Central y del Caribe;3
011;Ambite;Mujer;América del Norte;0
011;Ambite;Mujer;América del Sur;7
011;Ambite;Mujer;Apátridas;0
011;Ambite;Mujer;Asia;17
011;Ambite;Mujer;Oceanía;0
011;Ambite;Mujer;Otros países de América;0
011;Ambite;Mujer;Resto de Europa;21
011;Ambite;Mujer;Unión Europea ;274
012;Anchuelo;Hombre;África;1
012;Anchuelo;Hombre;América del Central y del Caribe;3
012;Anchuelo;Hombre;América del Norte;0
012;Anchuelo;Hombre;América del Sur;18
012;Anchuelo;Hombre;Apátridas;0
012;Anchuelo;Hombre;Asia;1
012;Anchuelo;Hombre;Oceanía;0
012;Anchuelo;Hombre;Otros países de América;0
012;Anchuelo;Hombre;Resto de Europa;3
012;Anchuelo;Hombre;Unión Europea ;621
012;Anchuelo;Mujer;África;2
012;Anchuelo;Mujer;América del Central y del Caribe;9
012;Anchuelo;Mujer;América del Norte;1
012;Anchuelo;Mujer;América del Sur;14
012;Anchuelo;Mujer;Apátridas;0
012;Anchuelo;Mujer;Asia;2
012;Anchuelo;Mujer;Oceanía;0
012;Anchuelo;Mujer;Otros países de América;0
012;Anchuelo;Mujer;Resto de Europa;8
012;Anchuelo;Mujer;Unión Europea ;555
013;Aranjuez;Hombre;África;948
013;Aranjuez;Hombre;América del Central y del Caribe;189
013;Aranjuez;Hombre;América del Norte;67
013;Aranjuez;Hombre;América del Sur;1314
013;Aranjuez;Hombre;Apátridas;0
013;Aranjuez;Hombre;Asia;161
013;Aranjuez;Hombre;Oceanía;5
013;Aranjuez;Hombre;Otros países de América;1
013;Aranjuez;Hombre;Resto de Europa;87
013;Aranjuez;Hombre;Unión Europea ;25615
013;Aranjuez;Mujer;África;721
013;Aranjuez;Mujer;América del Central y del Caribe;260
013;Aranjuez;Mujer;América del Norte;80
013;Aranjuez;Mujer;América del Sur;1723
013;Aranjuez;Mujer;Apátridas;0
013;Aranjuez;Mujer;Asia;167
013;Aranjuez;Mujer;Oceanía;5
013;Aranjuez;Mujer;Otros países de América;0
013;Aranjuez;Mujer;Resto de Europa;122
013;Aranjuez;Mujer;Unión Europea ;26748
014;Arganda del Rey;Hombre;África;285
014;Arganda del Rey;Hombre;América del Central y del Caribe;145
014;Arganda del Rey;Hombre;América del Norte;37
014;Arganda del Rey;Hombre;América del Sur;884
014;Arganda del Rey;Hombre;Apátridas;0
014;Arganda del Rey;Hombre;Asia;602
014;Arganda del Rey;Hombre;Oceanía;8
014;Arganda del Rey;Hombre;Otros países de América;0
014;Arganda del Rey;Hombre;Resto de Europa;103
014;Arganda del Rey;Hombre;Unión Europea ;24942
014;Arganda del Rey;Mujer;África;254
014;Arganda del Rey;Mujer;América del Central y del Caribe;204
014;Arganda del Rey;Mujer;América del Norte;36
014;Arganda del Rey;Mujer;América del Sur;1063
014;Arganda del Rey;Mujer;Apátridas;0
014;Arganda del Rey;Mujer;Asia;285
014;Arganda del Rey;Mujer;Oceanía;5
014;Arganda del Rey;Mujer;Otros países de América;0
014;Arganda del Rey;Mujer;Resto de Europa;129
014;Arganda del Rey;Mujer;Unión Europea ;24839
015;Arroyomolinos;Hombre;África;209
015;Arroyomolinos;Hombre;América del Central y del Caribe;75
015;Arroyomolinos;Hombre;América del Norte;34
015;Arroyomolinos;Hombre;América del Sur;447
015;Arroyomolinos;Hombre;Apátridas;0
015;Arroyomolinos;Hombre;Asia;123
015;Arroyomolinos;Hombre;Oceanía;3
015;Arroyomolinos;Hombre;Otros países de América;0
015;Arroyomolinos;Hombre;Resto de Europa;39
015;Arroyomolinos;Hombre;Unión Europea ;13694
015;Arroyomolinos;Mujer;África;207
015;Arroyomolinos;Mujer;América del Central y del Caribe;121
015;Arroyomolinos;Mujer;América del Norte;45
015;Arroyomolinos;Mujer;América del Sur;616
015;Arroyomolinos;Mujer;Apátridas;0
015;Arroyomolinos;Mujer;Asia;114
015;Arroyomolinos;Mujer;Oceanía;6
015;Arroyomolinos;Mujer;Otros países de América;0
015;Arroyomolinos;Mujer;Resto de Europa;79
015;Arroyomolinos;Mujer;Unión Europea ;13315
016;Atazar (El);Hombre;África;2
016;Atazar (El);Hombre;América del Central y del Caribe;0
016;Atazar (El);Hombre;América del Norte;0
016;Atazar (El);Hombre;América del Sur;0
016;Atazar (El);Hombre;Apátridas;0
016;Atazar (El);Hombre;Asia;0
016;Atazar (El);Hombre;Oceanía;0
016;Atazar (El);Hombre;Otros países de América;0
016;Atazar (El);Hombre;Resto de Europa;0
016;Atazar (El);Hombre;Unión Europea ;54
016;Atazar (El);Mujer;África;1
016;Atazar (El);Mujer;América del Central y del Caribe;0
016;Atazar (El);Mujer;América del Norte;0
016;Atazar (El);Mujer;América del Sur;1
016;Atazar (El);Mujer;Apátridas;0
016;Atazar (El);Mujer;Asia;0
016;Atazar (El);Mujer;Oceanía;0
016;Atazar (El);Mujer;Otros países de América;0
016;Atazar (El);Mujer;Resto de Europa;0
016;Atazar (El);Mujer;Unión Europea ;39
017;Batres;Hombre;África;8
017;Batres;Hombre;América del Central y del Caribe;2
017;Batres;Hombre;América del Norte;1
017;Batres;Hombre;América del Sur;37
017;Batres;Hombre;Apátridas;0
017;Batres;Hombre;Asia;2
017;Batres;Hombre;Oceanía;1
017;Batres;Hombre;Otros países de América;0
017;Batres;Hombre;Resto de Europa;5
017;Batres;Hombre;Unión Europea ;767
017;Batres;Mujer;África;4
017;Batres;Mujer;América del Central y del Caribe;3
017;Batres;Mujer;América del Norte;1
017;Batres;Mujer;América del Sur;26
017;Batres;Mujer;Apátridas;0
017;Batres;Mujer;Asia;0
017;Batres;Mujer;Oceanía;1
017;Batres;Mujer;Otros países de América;0
017;Batres;Mujer;Resto de Europa;1
017;Batres;Mujer;Unión Europea ;751
018;Becerril de la Sierra;Hombre;África;129
018;Becerril de la Sierra;Hombre;América del Central y del Caribe;10
018;Becerril de la Sierra;Hombre;América del Norte;7
018;Becerril de la Sierra;Hombre;América del Sur;98
018;Becerril de la Sierra;Hombre;Apátridas;0
018;Becerril de la Sierra;Hombre;Asia;7
018;Becerril de la Sierra;Hombre;Oceanía;0
018;Becerril de la Sierra;Hombre;Otros países de América;0
018;Becerril de la Sierra;Hombre;Resto de Europa;10
018;Becerril de la Sierra;Hombre;Unión Europea ;2449
018;Becerril de la Sierra;Mujer;África;114
018;Becerril de la Sierra;Mujer;América del Central y del Caribe;18
018;Becerril de la Sierra;Mujer;América del Norte;6
018;Becerril de la Sierra;Mujer;América del Sur;137
018;Becerril de la Sierra;Mujer;Apátridas;0
018;Becerril de la Sierra;Mujer;Asia;16
018;Becerril de la Sierra;Mujer;Oceanía;1
018;Becerril de la Sierra;Mujer;Otros países de América;0
018;Becerril de la Sierra;Mujer;Resto de Europa;11
018;Becerril de la Sierra;Mujer;Unión Europea ;2444
019;Belmonte de Tajo;Hombre;África;3
019;Belmonte de Tajo;Hombre;América del Central y del Caribe;2
019;Belmonte de Tajo;Hombre;América del Norte;3
019;Belmonte de Tajo;Hombre;América del Sur;13
019;Belmonte de Tajo;Hombre;Apátridas;0
019;Belmonte de Tajo;Hombre;Asia;0
019;Belmonte de Tajo;Hombre;Oceanía;0
019;Belmonte de Tajo;Hombre;Otros países de América;0
019;Belmonte de Tajo;Hombre;Resto de Europa;4
019;Belmonte de Tajo;Hombre;Unión Europea ;829
019;Belmonte de Tajo;Mujer;África;2
019;Belmonte de Tajo;Mujer;América del Central y del Caribe;1
019;Belmonte de Tajo;Mujer;América del Norte;1
019;Belmonte de Tajo;Mujer;América del Sur;14
019;Belmonte de Tajo;Mujer;Apátridas;0
019;Belmonte de Tajo;Mujer;Asia;0
019;Belmonte de Tajo;Mujer;Oceanía;0
019;Belmonte de Tajo;Mujer;Otros países de América;0
019;Belmonte de Tajo;Mujer;Resto de Europa;8
019;Belmonte de Tajo;Mujer;Unión Europea ;748
021;Berrueco (El);Hombre;África;11
021;Berrueco (El);Hombre;América del Central y del Caribe;2
021;Berrueco (El);Hombre;América del Norte;0
021;Berrueco (El);Hombre;América del Sur;11
021;Berrueco (El);Hombre;Apátridas;0
021;Berrueco (El);Hombre;Asia;1
021;Berrueco (El);Hombre;Oceanía;0
021;Berrueco (El);Hombre;Otros países de América;0
021;Berrueco (El);Hombre;Resto de Europa;0
021;Berrueco (El);Hombre;Unión Europea ;359
021;Berrueco (El);Mujer;África;11
021;Berrueco (El);Mujer;América del Central y del Caribe;4
021;Berrueco (El);Mujer;América del Norte;0
021;Berrueco (El);Mujer;América del Sur;10
021;Berrueco (El);Mujer;Apátridas;0
021;Berrueco (El);Mujer;Asia;1
021;Berrueco (El);Mujer;Oceanía;0
021;Berrueco (El);Mujer;Otros países de América;0
021;Berrueco (El);Mujer;Resto de Europa;0
021;Berrueco (El);Mujer;Unión Europea ;333
020;Berzosa del Lozoya;Hombre;África;2
020;Berzosa del Lozoya;Hombre;América del Central y del Caribe;0
020;Berzosa del Lozoya;Hombre;América del Norte;0
020;Berzosa del Lozoya;Hombre;América del Sur;5
020;Berzosa del Lozoya;Hombre;Apátridas;0
020;Berzosa del Lozoya;Hombre;Asia;0
020;Berzosa del Lozoya;Hombre;Oceanía;0
020;Berzosa del Lozoya;Hombre;Otros países de América;0
020;Berzosa del Lozoya;Hombre;Resto de Europa;0
020;Berzosa del Lozoya;Hombre;Unión Europea ;113
020;Berzosa del Lozoya;Mujer;África;0
020;Berzosa del Lozoya;Mujer;América del Central y del Caribe;0
020;Berzosa del Lozoya;Mujer;América del Norte;0
020;Berzosa del Lozoya;Mujer;América del Sur;4
020;Berzosa del Lozoya;Mujer;Apátridas;0
020;Berzosa del Lozoya;Mujer;Asia;0
020;Berzosa del Lozoya;Mujer;Oceanía;0
020;Berzosa del Lozoya;Mujer;Otros países de América;0
020;Berzosa del Lozoya;Mujer;Resto de Europa;0
020;Berzosa del Lozoya;Mujer;Unión Europea ;79
022;Boadilla del Monte;Hombre;África;152
022;Boadilla del Monte;Hombre;América del Central y del Caribe;119
022;Boadilla del Monte;Hombre;América del Norte;191
022;Boadilla del Monte;Hombre;América del Sur;1111
022;Boadilla del Monte;Hombre;Apátridas;0
022;Boadilla del Monte;Hombre;Asia;177
022;Boadilla del Monte;Hombre;Oceanía;4
022;Boadilla del Monte;Hombre;Otros países de América;0
022;Boadilla del Monte;Hombre;Resto de Europa;91
022;Boadilla del Monte;Hombre;Unión Europea ;23318
022;Boadilla del Monte;Mujer;África;129
022;Boadilla del Monte;Mujer;América del Central y del Caribe;238
022;Boadilla del Monte;Mujer;América del Norte;236
022;Boadilla del Monte;Mujer;América del Sur;1566
022;Boadilla del Monte;Mujer;Apátridas;0
022;Boadilla del Monte;Mujer;Asia;260
022;Boadilla del Monte;Mujer;Oceanía;8
022;Boadilla del Monte;Mujer;Otros países de América;0
022;Boadilla del Monte;Mujer;Resto de Europa;138
022;Boadilla del Monte;Mujer;Unión Europea ;23725
023;Boalo (El);Hombre;África;120
023;Boalo (El);Hombre;América del Central y del Caribe;7
023;Boalo (El);Hombre;América del Norte;15
023;Boalo (El);Hombre;América del Sur;104
023;Boalo (El);Hombre;Apátridas;0
023;Boalo (El);Hombre;Asia;10
023;Boalo (El);Hombre;Oceanía;1
023;Boalo (El);Hombre;Otros países de América;0
023;Boalo (El);Hombre;Resto de Europa;14
023;Boalo (El);Hombre;Unión Europea ;3453
023;Boalo (El);Mujer;África;67
023;Boalo (El);Mujer;América del Central y del Caribe;16
023;Boalo (El);Mujer;América del Norte;16
023;Boalo (El);Mujer;América del Sur;166
023;Boalo (El);Mujer;Apátridas;0
023;Boalo (El);Mujer;Asia;22
023;Boalo (El);Mujer;Oceanía;2
023;Boalo (El);Mujer;Otros países de América;0
023;Boalo (El);Mujer;Resto de Europa;18
023;Boalo (El);Mujer;Unión Europea ;3327
024;Braojos;Hombre;África;5
024;Braojos;Hombre;América del Central y del Caribe;0
024;Braojos;Hombre;América del Norte;1
024;Braojos;Hombre;América del Sur;0
024;Braojos;Hombre;Apátridas;0
024;Braojos;Hombre;Asia;0
024;Braojos;Hombre;Oceanía;0
024;Braojos;Hombre;Otros países de América;0
024;Braojos;Hombre;Resto de Europa;0
024;Braojos;Hombre;Unión Europea ;116
024;Braojos;Mujer;África;2
024;Braojos;Mujer;América del Central y del Caribe;0
024;Braojos;Mujer;América del Norte;0
024;Braojos;Mujer;América del Sur;1
024;Braojos;Mujer;Apátridas;0
024;Braojos;Mujer;Asia;0
024;Braojos;Mujer;Oceanía;0
024;Braojos;Mujer;Otros países de América;0
024;Braojos;Mujer;Resto de Europa;0
024;Braojos;Mujer;Unión Europea ;83
025;Brea de Tajo;Hombre;África;14
025;Brea de Tajo;Hombre;América del Central y del Caribe;1
025;Brea de Tajo;Hombre;América del Norte;0
025;Brea de Tajo;Hombre;América del Sur;8
025;Brea de Tajo;Hombre;Apátridas;0
025;Brea de Tajo;Hombre;Asia;0
025;Brea de Tajo;Hombre;Oceanía;0
025;Brea de Tajo;Hombre;Otros países de América;0
025;Brea de Tajo;Hombre;Resto de Europa;0
025;Brea de Tajo;Hombre;Unión Europea ;285
025;Brea de Tajo;Mujer;África;1
025;Brea de Tajo;Mujer;América del Central y del Caribe;0
025;Brea de Tajo;Mujer;América del Norte;1
025;Brea de Tajo;Mujer;América del Sur;8
025;Brea de Tajo;Mujer;Apátridas;0
025;Brea de Tajo;Mujer;Asia;0
025;Brea de Tajo;Mujer;Oceanía;0
025;Brea de Tajo;Mujer;Otros países de América;0
025;Brea de Tajo;Mujer;Resto de Europa;0
025;Brea de Tajo;Mujer;Unión Europea ;221
026;Brunete;Hombre;África;171
026;Brunete;Hombre;América del Central y del Caribe;20
026;Brunete;Hombre;América del Norte;11
026;Brunete;Hombre;América del Sur;237
026;Brunete;Hombre;Apátridas;0
026;Brunete;Hombre;Asia;27
026;Brunete;Hombre;Oceanía;3
026;Brunete;Hombre;Otros países de América;0
026;Brunete;Hombre;Resto de Europa;27
026;Brunete;Hombre;Unión Europea ;4629
026;Brunete;Mujer;África;130
026;Brunete;Mujer;América del Central y del Caribe;67
026;Brunete;Mujer;América del Norte;20
026;Brunete;Mujer;América del Sur;307
026;Brunete;Mujer;Apátridas;0
026;Brunete;Mujer;Asia;30
026;Brunete;Mujer;Oceanía;2
026;Brunete;Mujer;Otros países de América;0
026;Brunete;Mujer;Resto de Europa;40
026;Brunete;Mujer;Unión Europea ;4652
027;Buitrago del Lozoya;Hombre;África;29
027;Buitrago del Lozoya;Hombre;América del Central y del Caribe;6
027;Buitrago del Lozoya;Hombre;América del Norte;2
027;Buitrago del Lozoya;Hombre;América del Sur;28
027;Buitrago del Lozoya;Hombre;Apátridas;0
027;Buitrago del Lozoya;Hombre;Asia;7
027;Buitrago del Lozoya;Hombre;Oceanía;0
027;Buitrago del Lozoya;Hombre;Otros países de América;0
027;Buitrago del Lozoya;Hombre;Resto de Europa;5
027;Buitrago del Lozoya;Hombre;Unión Europea ;810
027;Buitrago del Lozoya;Mujer;África;21
027;Buitrago del Lozoya;Mujer;América del Central y del Caribe;10
027;Buitrago del Lozoya;Mujer;América del Norte;6
027;Buitrago del Lozoya;Mujer;América del Sur;50
027;Buitrago del Lozoya;Mujer;Apátridas;0
027;Buitrago del Lozoya;Mujer;Asia;6
027;Buitrago del Lozoya;Mujer;Oceanía;0
027;Buitrago del Lozoya;Mujer;Otros países de América;0
027;Buitrago del Lozoya;Mujer;Resto de Europa;8
027;Buitrago del Lozoya;Mujer;Unión Europea ;866
028;Bustarviejo;Hombre;África;41
028;Bustarviejo;Hombre;América del Central y del Caribe;8
028;Bustarviejo;Hombre;América del Norte;4
028;Bustarviejo;Hombre;América del Sur;34
028;Bustarviejo;Hombre;Apátridas;0
028;Bustarviejo;Hombre;Asia;2
028;Bustarviejo;Hombre;Oceanía;0
028;Bustarviejo;Hombre;Otros países de América;0
028;Bustarviejo;Hombre;Resto de Europa;10
028;Bustarviejo;Hombre;Unión Europea ;1097
028;Bustarviejo;Mujer;África;28
028;Bustarviejo;Mujer;América del Central y del Caribe;13
028;Bustarviejo;Mujer;América del Norte;6
028;Bustarviejo;Mujer;América del Sur;40
028;Bustarviejo;Mujer;Apátridas;0
028;Bustarviejo;Mujer;Asia;5
028;Bustarviejo;Mujer;Oceanía;0
028;Bustarviejo;Mujer;Otros países de América;0
028;Bustarviejo;Mujer;Resto de Europa;11
028;Bustarviejo;Mujer;Unión Europea ;1099
029;Cabanillas de la Sierra;Hombre;África;1
029;Cabanillas de la Sierra;Hombre;América del Central y del Caribe;0
029;Cabanillas de la Sierra;Hombre;América del Norte;1
029;Cabanillas de la Sierra;Hombre;América del Sur;10
029;Cabanillas de la Sierra;Hombre;Apátridas;0
029;Cabanillas de la Sierra;Hombre;Asia;2
029;Cabanillas de la Sierra;Hombre;Oceanía;0
029;Cabanillas de la Sierra;Hombre;Otros países de América;0
029;Cabanillas de la Sierra;Hombre;Resto de Europa;2
029;Cabanillas de la Sierra;Hombre;Unión Europea ;355
029;Cabanillas de la Sierra;Mujer;África;2
029;Cabanillas de la Sierra;Mujer;América del Central y del Caribe;1
029;Cabanillas de la Sierra;Mujer;América del Norte;3
029;Cabanillas de la Sierra;Mujer;América del Sur;10
029;Cabanillas de la Sierra;Mujer;Apátridas;0
029;Cabanillas de la Sierra;Mujer;Asia;2
029;Cabanillas de la Sierra;Mujer;Oceanía;0
029;Cabanillas de la Sierra;Mujer;Otros países de América;0
029;Cabanillas de la Sierra;Mujer;Resto de Europa;4
029;Cabanillas de la Sierra;Mujer;Unión Europea ;319
030;Cabrera (La);Hombre;África;61
030;Cabrera (La);Hombre;América del Central y del Caribe;7
030;Cabrera (La);Hombre;América del Norte;1
030;Cabrera (La);Hombre;América del Sur;43
030;Cabrera (La);Hombre;Apátridas;0
030;Cabrera (La);Hombre;Asia;6
030;Cabrera (La);Hombre;Oceanía;0
030;Cabrera (La);Hombre;Otros países de América;0
030;Cabrera (La);Hombre;Resto de Europa;31
